normalization,graph_file,graph_stem,graph_path,status,labelled_supernodes,num_supernodes,labeled_summary_graph_path,summary_graph_path,model_name,temperature,label_scheme
,038.pt,038,dataset/analogies/038.pt,skipped_existing,9,12,labeled_summary/entmax/alpha_0.50/node_0.02/038_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/038_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,039.pt,039,dataset/analogies/039.pt,skipped_existing,11,13,labeled_summary/entmax/alpha_0.50/node_0.02/039_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/039_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,040.pt,040,dataset/analogies/040.pt,skipped_existing,13,17,labeled_summary/entmax/alpha_0.50/node_0.02/040_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/040_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,042.pt,042,dataset/analogies/042.pt,skipped_existing,9,12,labeled_summary/entmax/alpha_0.50/node_0.02/042_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/042_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,043.pt,043,dataset/analogies/043.pt,skipped_existing,8,14,labeled_summary/entmax/alpha_0.50/node_0.02/043_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/043_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,044.pt,044,dataset/analogies/044.pt,skipped_existing,10,12,labeled_summary/entmax/alpha_0.50/node_0.02/044_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/044_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,045.pt,045,dataset/analogies/045.pt,skipped_existing,11,14,labeled_summary/entmax/alpha_0.50/node_0.02/045_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/045_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,046.pt,046,dataset/analogies/046.pt,ok,8,11,labeled_summary/entmax/alpha_0.50/node_0.02/046_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/046_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,047.pt,047,dataset/analogies/047.pt,ok,9,13,labeled_summary/entmax/alpha_0.50/node_0.02/047_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/047_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,048.pt,048,dataset/analogies/048.pt,ok,10,15,labeled_summary/entmax/alpha_0.50/node_0.02/048_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/048_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,049.pt,049,dataset/analogies/049.pt,ok,9,11,labeled_summary/entmax/alpha_0.50/node_0.02/049_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/049_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,050.pt,050,dataset/analogies/050.pt,ok,10,12,labeled_summary/entmax/alpha_0.50/node_0.02/050_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/050_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,052.pt,052,dataset/analogies/052.pt,ok,14,16,labeled_summary/entmax/alpha_0.50/node_0.02/052_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/052_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,053.pt,053,dataset/analogies/053.pt,ok,9,12,labeled_summary/entmax/alpha_0.50/node_0.02/053_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/053_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,054.pt,054,dataset/analogies/054.pt,ok,14,17,labeled_summary/entmax/alpha_0.50/node_0.02/054_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/054_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,055.pt,055,dataset/analogies/055.pt,ok,11,13,labeled_summary/entmax/alpha_0.50/node_0.02/055_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/055_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,056.pt,056,dataset/analogies/056.pt,ok,14,18,labeled_summary/entmax/alpha_0.50/node_0.02/056_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/056_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,057.pt,057,dataset/analogies/057.pt,ok,9,12,labeled_summary/entmax/alpha_0.50/node_0.02/057_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/057_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,058.pt,058,dataset/analogies/058.pt,ok,14,18,labeled_summary/entmax/alpha_0.50/node_0.02/058_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/058_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,059.pt,059,dataset/analogies/059.pt,ok,13,16,labeled_summary/entmax/alpha_0.50/node_0.02/059_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/059_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,060.pt,060,dataset/analogies/060.pt,ok,13,15,labeled_summary/entmax/alpha_0.50/node_0.02/060_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/060_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,062.pt,062,dataset/analogies/062.pt,ok,14,19,labeled_summary/entmax/alpha_0.50/node_0.02/062_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/062_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,063.pt,063,dataset/analogies/063.pt,ok,12,17,labeled_summary/entmax/alpha_0.50/node_0.02/063_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/063_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
