normalization,graph_file,graph_stem,graph_path,status,num_supernodes,summary_graph_path,feature_supernodes
entmax,084.pt,084,dataset/analogies/084.pt,ok,11,summary_graphs/entmax/alpha_0.50/node_0.02/084_summary_graph.pt,7
entmax,085.pt,085,dataset/analogies/085.pt,ok,13,summary_graphs/entmax/alpha_0.50/node_0.02/085_summary_graph.pt,10
entmax,086.pt,086,dataset/analogies/086.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/086_summary_graph.pt,11
entmax,087.pt,087,dataset/analogies/087.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/087_summary_graph.pt,10
entmax,088.pt,088,dataset/analogies/088.pt,ok,9,summary_graphs/entmax/alpha_0.50/node_0.02/088_summary_graph.pt,5
entmax,089.pt,089,dataset/analogies/089.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/089_summary_graph.pt,10
entmax,090.pt,090,dataset/analogies/090.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/090_summary_graph.pt,10
entmax,091.pt,091,dataset/analogies/091.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/091_summary_graph.pt,13
entmax,092.pt,092,dataset/analogies/092.pt,ok,14,summary_graphs/entmax/alpha_0.50/node_0.02/092_summary_graph.pt,12
entmax,093.pt,093,dataset/analogies/093.pt,ok,11,summary_graphs/entmax/alpha_0.50/node_0.02/093_summary_graph.pt,8
entmax,094.pt,094,dataset/analogies/094.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/094_summary_graph.pt,10
entmax,095.pt,095,dataset/analogies/095.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/095_summary_graph.pt,13
entmax,096.pt,096,dataset/analogies/096.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/096_summary_graph.pt,12
entmax,097.pt,097,dataset/analogies/097.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/097_summary_graph.pt,12
entmax,098.pt,098,dataset/analogies/098.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/098_summary_graph.pt,13
entmax,099.pt,099,dataset/analogies/099.pt,ok,13,summary_graphs/entmax/alpha_0.50/node_0.02/099_summary_graph.pt,11
