graph_stem,summary_graph_path,prune_graph_path,solver,matched_k,num_nodes,n_supernodes,n_superedges,L,L_atom,L_atom_norm,sil_raw,sil_norm,L_causal,internalized_mass_fraction,dag_removed_mass_fraction,final_retained_mass_fraction,raw_superedge_mass,final_superedge_mass,total_fine_edge_mass
062,summary_graphs/entmax/alpha_0.50/node_0.02/062_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/062_prune_graph.pt,ours-summary,14,33,19,155,0.34169087489633554,-99.68145751953125,0.6400918642321628,0.04824093816911608,0.524120469084558,0.04328988556050822,0.04328988556050822,0.05224393177448052,0.6546726323791958,119.27493238449097,113.04354095458984,172.67185974121094
062,summary_graphs/entmax/alpha_0.50/node_0.02/062_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/062_prune_graph.pt,baseline-spectral-cosine,14,33,19,149,0.38863543131991785,-73.70477294921875,0.708807029975836,-0.09690939900795202,0.451545300496024,0.06846383266399975,0.06846383266399975,0.05480854003451125,0.7216007054650655,131.82528734207153,124.60013580322266,172.67185974121094
062,summary_graphs/entmax/alpha_0.50/node_0.02/062_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/062_prune_graph.pt,baseline-kmeans,14,33,19,153,0.3961275860275356,-58.36579895019531,0.7493827402675184,0.44121265814310995,0.720606329071555,0.04287243178755284,0.04287243178755284,0.0668942074324809,0.7899999822157976,146.19003248214722,136.41076612472534,172.67185974121094
062,summary_graphs/entmax/alpha_0.50/node_0.02/062_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/062_prune_graph.pt,baseline-spectral-adj,14,33,19,156,0.4835269124415157,-32.586551666259766,0.8175756822793722,-0.4306102847361164,0.2846948576319418,0.1494781426036592,0.1494781426036592,0.0531578373424596,0.6389752570270133,116.52739000320435,110.33304595947266,172.67185974121094
062,summary_graphs/entmax/alpha_0.50/node_0.02/062_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/062_prune_graph.pt,baseline-random-same-size,14,33,19,153,0.4059406299465373,-63.542022705078125,0.7356902907314531,-0.5461286728941601,0.22693566355291994,0.07619096916162152,0.07619096916162152,0.07748336806231004,0.7295893222279201,136.5607304573059,125.97954511642456,172.67185974121094
063,summary_graphs/entmax/alpha_0.50/node_0.02/063_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/063_prune_graph.pt,ours-summary,12,33,17,123,0.39826087618555317,-80.94683074951172,0.7498531926067491,0.12802078306846676,0.5640103915342334,0.0466685597643572,0.0466685597643572,0.08230108677710596,0.7383298862015472,203.99455785751343,187.20558404922485,253.55276489257812
063,summary_graphs/entmax/alpha_0.50/node_0.02/063_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/063_prune_graph.pt,baseline-spectral-cosine,12,33,17,123,0.4368416726708526,-69.03291320800781,0.7821557009797557,-0.061420500126314344,0.4692897499368428,0.09152764436194946,0.09152764436194946,0.09995244981154648,0.6555104205620638,184.66410970687866,166.20647954940796,253.55276489257812
063,summary_graphs/entmax/alpha_0.50/node_0.02/063_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/063_prune_graph.pt,baseline-kmeans,12,33,17,123,0.43525842579141283,-53.8123664855957,0.8234237825742996,0.4337658276056247,0.7168829138028123,0.04709306900852611,0.04709306900852611,0.06344484464342677,0.8153178935138908,220.73030614852905,206.7261061668396,253.55276489257812
063,summary_graphs/entmax/alpha_0.50/node_0.02/063_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/063_prune_graph.pt,baseline-spectral-adj,12,33,17,110,0.49005216063300877,-41.47407150268555,0.8568770027511338,-0.48893093092681683,0.2555345345365916,0.12322731851488376,0.12322731851488376,0.17038391843347953,0.6033966499725519,184.4140830039978,152.99288892745972,253.55276489257812
063,summary_graphs/entmax/alpha_0.50/node_0.02/063_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/063_prune_graph.pt,baseline-random-same-size,12,33,17,120,0.44589601438516285,-49.04766845703125,0.8363424194636195,-0.619222471720602,0.19038876413969902,0.055449609306706206,0.055449609306706206,0.1658576143210417,0.6747735835237928,205.10971593856812,171.09070777893066,253.55276489257812
