graph_file,graph_stem,graph_path,summary_graph_path,labeled_summary_graph_path,model_name,temperature,label_scheme,status,num_supernodes,labelled_supernodes
041.pt,041,dataset/analogies/041.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/041.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/041.pt,gemma-4-31b-it,0.2,one_pass,ok,13,10
042.pt,042,dataset/analogies/042.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/042.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/042.pt,gemma-4-31b-it,0.2,one_pass,ok,12,9
043.pt,043,dataset/analogies/043.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/043.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/043.pt,gemma-4-31b-it,0.2,one_pass,ok,14,8
044.pt,044,dataset/analogies/044.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/044.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/044.pt,gemma-4-31b-it,0.2,one_pass,ok,13,11
045.pt,045,dataset/analogies/045.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/045.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/045.pt,gemma-4-31b-it,0.2,one_pass,ok,14,11
046.pt,046,dataset/analogies/046.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/046.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/046.pt,gemma-4-31b-it,0.2,one_pass,ok,14,11
047.pt,047,dataset/analogies/047.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/047.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/047.pt,gemma-4-31b-it,0.2,one_pass,ok,11,8
048.pt,048,dataset/analogies/048.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/048.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/048.pt,gemma-4-31b-it,0.2,one_pass,ok,14,9
049.pt,049,dataset/analogies/049.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/049.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/049.pt,gemma-4-31b-it,0.2,one_pass,ok,12,10
050.pt,050,dataset/analogies/050.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/050.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/050.pt,gemma-4-31b-it,0.2,one_pass,ok,14,12
051.pt,051,dataset/analogies/051.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/051.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/051.pt,gemma-4-31b-it,0.2,one_pass,ok,14,10
052.pt,052,dataset/analogies/052.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/052.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/052.pt,gemma-4-31b-it,0.2,one_pass,ok,16,14
053.pt,053,dataset/analogies/053.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/053.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/053.pt,gemma-4-31b-it,0.2,one_pass,ok,11,8
054.pt,054,dataset/analogies/054.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/054.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/054.pt,gemma-4-31b-it,0.2,one_pass,ok,12,9
055.pt,055,dataset/analogies/055.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/055.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/055.pt,gemma-4-31b-it,0.2,one_pass,ok,14,12
056.pt,056,dataset/analogies/056.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/056.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/056.pt,gemma-4-31b-it,0.2,one_pass,ok,15,11
057.pt,057,dataset/analogies/057.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/057.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/057.pt,gemma-4-31b-it,0.2,one_pass,ok,14,11
